feature,importance
worst area,0.14418580534645634
worst perimeter,0.14397310681990566
worst concave points,0.10493603719984626
mean concave points,0.09951471540160041
worst radius,0.07842728851362514
mean radius,0.057273827563047004
mean perimeter,0.05597431505087133
mean concavity,0.05006880256213249
worst concavity,0.037483208740047645
mean area,0.036136057461687
area error,0.02898433706215858
worst texture,0.017605946536840937
mean compactness,0.01673438320426912
worst compactness,0.01621039788042732
worst smoothness,0.01383278642992123
radius error,0.01374894604705295
mean texture,0.013457225025309093
worst symmetry,0.012064420997113143
perimeter error,0.009143182622676837
mean smoothness,0.007001570259457107
worst fractal dimension,0.005111517650211796
compactness error,0.0050913938210841
texture error,0.004957800321832979
concavity error,0.0048262325209792135
fractal dimension error,0.004413010977234624
mean symmetry,0.00409048755282966
symmetry error,0.0037791196391694457
mean fractal dimension,0.003773262659701227
concave points error,0.003650832094356787
smoothness error,0.003549982038154628
